,,%share in total MPCE,%share in total MPCE,%share in total MPCE
,Item group,2011-12,2022-23,2023-24
0,cereal,10.69,4.89,4.97
1,cereal substitutes,0.06,0.02,0.02
2,gram,0.14,0.24,0.26
3,pulses and pulse products*,2.76,1.77,1.78
4,sugar & salt,1.83,0.93,0.89
5,milk and milk products,8.04,8.33,8.44
6,vegetables,6.62,5.38,6.03
7,fruits (fresh),2.25,2.54,2.66
8,fruits (dry),0.58,1.17,1.19
9,"egg, fish & meat",4.79,4.91,4.92
10,edible oil,3.74,3.59,2.77
11,spices,3.5,2.98,3.27
12,"beverages, processed food#  etc.",7.9,9.62,9.84
13,food: total,52.9,46.38,47.04
14,"pan, tobacco & intoxicants",3.21,3.79,3.84
15,fuel and light,7.98,6.66,6.11
16,"toilet       articles       &       other       household
consumables",4.01,5.12,5.2
17,education,3.49,3.3,3.24
18,medical (hospitalization),2.15,2.36,2.25
19,medical (non- hospitalization),4.5,4.77,4.58
20,conveyance,4.2,7.55,7.59
21,consumer services excluding conveyance&,3.99,5.08,5.25
22,entertainment,0.99,1.09,1.02
23,rent,0.45,0.78,0.56
24,other taxes & cesses,0.25,0.13,0.21
25,clothing & bedding$,5.99,5.24,5.67
26,footwear,1.02,0.86,0.96
27,durable goods,4.85,6.89,6.48
28,non-food: total,47.1,53.62,52.96
29,total expenditure,100.0,100.0,100.0
