,Rural,Rural,Rural,Urban,Urban,Urban,Rural + Urban,Rural + Urban,Rural + Urban
State/UT,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andhra Pradesh,63,33.6,48.6,57.2,22.4,39.3,61.2,29.9,45.6
Arunachal Pradesh,57,49.3,53.2,44.3,32.5,38.1,54.8,46.1,50.5
Assam,67.6,36.2,51.9,65.2,25.9,46,67.3,35.1,51.3
Bihar,55.5,15.3,35.4,42.1,10.7,27.6,54.1,14.8,34.6
Chhattisgarh,74.5,55.1,65.2,60.9,32.3,46.7,71.9,50.6,61.7
Delhi,63,11.9,47,46.6,18.1,34.6,47.1,18,34.9
Goa,62.7,20.4,43.3,47.9,32.9,40.2,54.4,28.1,41.5
Gujarat,75.4,49,62.7,68.6,28.1,50.2,72.5,40.6,57.5
Haryana,56.8,12.9,37.3,59.6,17.4,40.9,57.9,14.7,38.7
Himachal Pradesh,70.3,60.3,65.3,62.1,37.4,52.2,68.9,57.5,63.3
Jharkhand,67.9,43.4,55.2,49.8,17.3,34.4,64.1,38.6,51.1
Karnataka,62.4,20,42.3,57.7,25.9,42.6,60.5,22.4,42.4
Kerala,51.5,30.5,40.9,51,30.2,40.3,51.2,30.3,40.6
Madhya Pradesh,80.3,43.9,62.9,64.9,21.7,43.9,76.4,38.1,58.1
Maharashtra,57.6,25.5,42.9,64.2,28,47.6,60.5,26.6,44.9
Manipur,37.9,24.1,30.8,39.9,26.5,33.2,38.5,24.8,31.5
Meghalaya,70.4,61.8,66.1,47.8,34.5,41.1,66.5,57.2,61.8
Mizoram,32.4,22.8,28.3,24.6,21.8,23.3,29,22.3,26
Nagaland,64.5,49.4,56.5,47.7,28.1,37.9,58.6,42.5,50.2
Odisha,69.7,39.4,54,55.9,27.6,42.5,67.3,37.6,52.1
Punjab,66.3,28.4,47.6,66.1,22,45.2,66.2,25.9,46.6
Rajasthan,66.5,40.5,53.1,58.5,24.1,43,64.2,36.5,50.4
Sikkim,67.2,56.4,61.8,58.2,25.7,45.5,64.1,48.8,57
Tamil Nadu,60.2,24.7,42.8,57.4,22.9,39.6,59,23.8,41.3
Telangana,67.7,35.5,51.7,61.9,27.4,45,65.2,32.1,48.8
Tripura,64.3,32.3,49.8,47.1,20.1,33.4,61.7,30.1,47.1
Uttarakhand,62.7,43,52.8,57.7,20.5,38.5,61.4,36.9,49
Uttar Pradesh,65,23.5,44,60.3,15,38.9,64,21.8,42.9
West Bengal,70.3,31.5,49.7,66.5,30.4,47.3,69.2,31.2,49
Andaman & N. Island,72,67.7,70.1,78.4,39.6,59.9,75.1,53.4,65.1
Chandigarh,,,,65.3,34.1,50,65.3,34.1,50
Dadra & Nagar Haveli & Daman & Diu,72,65.5,69.1,80.1,17.7,54.4,76.6,40.1,61
Jammu & Kashmir,57.3,41.2,49.8,52.8,31.9,43.2,56.5,39.6,48.7
Ladakh,45,33,38.9,57.8,28.8,45.3,46.9,32.5,39.8
Lakshadweep,82.6,41.8,66.2,60.1,15.3,42.3,66.7,23.1,49.3
Puducherry,56.8,28.3,42.3,62.2,27.5,42.9,60.1,27.8,42.7
all India,65.1,30.8,48.1,59.9,23.8,42.6,63.5,28.8,46.5
