,Rural,Rural,Rural,Urban,Urban,Urban,Rural + Urban,Rural + Urban,Rural + Urban
State/UT,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andhra Pradesh,77.9,51.2,64.2,73.9,30.2,51.3,76.7,44.8,60.2
Arunachal Pradesh,80,70.8,75.5,75.1,46.4,60.5,79.2,66.5,73
Assam,83.8,52.8,68.5,80,31.5,55.8,83.3,50.2,66.9
Bihar,76.8,32,54.3,67.8,16.7,43.4,75.8,30.5,53.2
Chhattisgarh,84.6,65.9,75.2,78.8,34,57,83.4,59.5,71.5
Delhi,79.9,17.9,52.5,69.9,18.5,46.3,70.1,18.5,46.4
Goa,75.9,27.5,52,72.8,30.5,51.6,74.1,29.3,51.8
Gujarat,84.9,57.9,71.5,79.3,29.6,55.4,82.4,46,64.6
Haryana,71.9,26.3,50,73.9,20.8,48.6,72.7,24.2,49.5
Himachal Pradesh,82.4,70.2,76,77.5,45.1,63.2,81.7,67.6,74.4
Jharkhand,80.9,57.3,68.7,68.8,19.4,44.5,78.3,49.8,63.8
Karnataka,76.3,43.5,59.8,74.1,28.8,51.7,75.5,38,56.8
Kerala,75.3,44.2,58.6,73.5,37,53.7,74.4,40.8,56.2
Madhya Pradesh,87.3,61.1,74.5,78.3,28.5,53.4,85,52.3,68.9
Maharashtra,77.8,48,63,76.4,29.4,53.6,77.2,40.1,59
Manipur,71.6,49.6,60.5,68.8,46.6,57.5,70.8,48.7,59.6
Meghalaya,84.8,76.9,80.8,69.5,47.7,57.9,82.3,71.8,76.9
Mizoram,67.4,42.6,55.7,64.5,40.6,52.5,66.1,41.7,54.2
Nagaland,85.4,69,77.1,75.3,52.1,64,82.4,64.3,73.3
Odisha,82.9,52.6,67.1,75,30.8,53.2,81.7,49.4,64.9
Punjab,80.1,34.9,57.4,79.4,24.6,52.9,79.8,31.1,55.7
Rajasthan,80.2,58.7,69.1,73.4,29.9,52.4,78.2,50.9,64.4
Sikkim,85.7,77.9,81.9,76.2,32.2,57,83.4,68.2,76.2
Tamil Nadu,77,54.2,65.2,74.2,30.2,51.3,75.7,43.2,58.8
Telangana,79.5,55.7,67.1,76.9,31.8,54.4,78.5,46.7,62.2
Tripura,81,50.7,66,69.2,31.4,49.9,78.9,47.1,63
Uttarakhand,76.9,52.6,64.5,75,24.4,49.5,76.4,45.6,60.7
Uttar Pradesh,80.5,39.1,59.5,76.2,17.5,47.7,79.5,34.5,56.9
West Bengal,84,43.9,63.7,79,32.4,55.4,82.4,40.4,61.1
Andaman & N. Island,84.2,54,69.5,84.3,36.9,60.9,84.3,46.3,65.7
Chandigarh,,,,76.9,31,54.7,76.9,31,54.7
Dadra & Nagar Haveli & Daman & Diu,85.8,72.3,79.2,89.1,24.8,62.4,87.8,46.5,69.4
Jammu & Kashmir,76,56.8,66.7,74.6,33.1,54.5,75.7,52.1,64.3
Ladakh,72.5,54.3,63.6,73.1,33,55.1,72.5,51.6,62.5
Lakshadweep,83,20.4,57,71,15.9,45,74.7,17.1,48.5
Puducherry,73.1,42.5,57.3,73.4,29.4,49.4,73.3,34.2,52.4
all India,80.2,47.6,63.7,75.6,28,52,78.8,41.7,60.1
