,Rural,Rural,Rural,Urban,Urban,Urban,Rural + Urban,Rural + Urban,Rural + Urban
State/UT,Male,Female,Person,Male,Female,Person,Male,Female,Person
Andhra Pradesh,56.5,38.3,47.3,55.6,22.4,38.5,56.3,33.5,44.7
Arunachal Pradesh,52.6,47.5,50.2,50,27.2,38.4,52.2,44,48.2
Assam,57,22.8,40.1,59.1,17.3,38.3,57.2,22.2,39.9
Bihar,45.4,10.1,28.1,44.1,7.6,26.7,45.3,9.9,28
Chhattisgarh,62,45.4,53.7,58.2,23,41.3,61.2,41.2,51.3
Delhi,52.8,11.1,35.5,52.5,13.9,34.9,52.5,13.9,34.9
Goa,53.5,18.4,36.5,52.8,19.3,36.3,53.1,18.9,36.3
Gujarat,62.1,35.1,48.9,60.1,17.6,39.9,61.2,27.9,45.2
Haryana,49.5,19.2,35.5,53.9,16,36.3,51.2,18,35.8
Himachal Pradesh,57,46.9,51.9,60.8,28.2,46.1,57.5,44.8,51.1
Jharkhand,49.5,20.3,34.9,47,10.6,29.3,49,18.5,33.9
Karnataka,57.6,32.5,45.1,57,21.5,39.6,57.4,28.4,43
Kerala,53.1,22.4,36.9,51.9,20.6,35.1,52.6,21.5,36
Madhya Pradesh,58.6,19.8,39.9,55.3,14.1,35,57.7,18.3,38.6
Maharashtra,58.8,36.4,47.7,57.8,21.3,40.3,58.4,30.1,44.5
Manipur,50.1,33.4,41.7,48.9,31.3,40,49.8,32.8,41.2
Meghalaya,51.7,36.2,43.8,48,29.4,38.3,51.1,35.2,43
Mizoram,50.3,30.1,40.5,47.7,29.1,38.2,49.1,29.6,39.5
Nagaland,53.1,38.5,45.6,45.2,28.1,36.8,50.8,35.7,43.2
Odisha,57.2,25.5,40.9,54.1,17.4,36,56.7,24.3,40.1
Punjab,58.9,23.2,41.2,59.5,16.4,38.5,59.1,20.6,40.1
Rajasthan,53,32.4,42.6,52.4,17.5,35.7,52.9,28.6,40.7
Sikkim,63.4,61.2,62.3,59.8,24.1,44.3,62.5,53.1,58.2
Tamil Nadu,56.5,35.1,45.7,56.7,21.6,38.6,56.6,28.9,42.4
Telangana,56.8,39.8,48.1,53.6,21,37.6,55.5,32.6,43.9
Tripura,62.8,36.4,49.5,55.3,22.4,38.4,61.5,33.9,47.6
Uttarakhand,50.7,27.1,39,53.2,13.6,33.6,51.3,23.7,37.6
Uttar Pradesh,50.3,14.4,32.5,52.8,9.8,32.2,50.8,13.4,32.4
West Bengal,60.7,17.1,38.9,61.3,16.9,39,60.9,17.1,38.9
Andaman & N. Island,60.3,30.4,46,62.4,18.2,40.7,61.2,24.9,43.6
Chandigarh,,,,56.9,20.7,39.7,56.9,20.7,39.7
Dadra & Nagar Haveli & Daman & Diu,58.6,50.3,54.6,68,17.3,46.3,64.2,32.3,49.9
Jammu & Kashmir,50.4,15.9,33.8,54.5,13.2,34.6,51.2,15.4,33.9
Ladakh,53.7,36.1,45.6,56.7,15.3,37.6,54.1,33.3,44.6
Lakshadweep,63.9,6.1,36.9,49.5,8.4,30,53.7,7.8,31.9
Puducherry,56.9,30.2,43.7,53,20.6,35.7,54.5,24,38.7
all India,54.4,24.1,39.4,55.5,17.7,37,54.8,22.3,38.7
